Id	Name	Level[1]	Level[2]	Level[3]	Level[4]	Level[5]	Level[6]	Level[7]	Level[8]	Level[9]	Level[10]	Level[11]	Level[12]	Level[13]	Level[14]	Level[15]	Level[16]	Level[17]	Level[18]	Level[19]	Level[20]	Level[21]	Level[22]	Level[23]	Level[24]	Level[25]	Level[26]	Level[27]	Level[28]	Level[29]	Level[30]	Level[31]	Level[32]	Level[33]	Level[34]	Level[35]
773000	AddBuff	773000																																		
773000000	AddBehavior	773000																																		
773001	AddBuff	773001																																		
773001000	AddBehavior	773001																																		
773002	AddBuff	773002																																		
773002000	AddBehavior	773002																																		
773003	ChangeDamageAdditive	25|1500|0																																		
773004	ChangeDamageAdditive	25|3000|0																																		
773005	ChangeDamageAdditive	25|4500|0																																		
773006	AddBuff	773006																																		
773006000	AddBehavior	773006																																		
773007	AddBuff	773007																																		
773007000	AddBehavior	773007																																		
773008	AddBuff	773008																																		
773008000	AddBehavior	773008																																		
773009	ChangeDamageAdditive	25|1000|0																																		
773010	ChangeDamageAdditive	25|2000|0																																		
773011	ChangeDamageAdditive	25|3000|0																																		
773012	AddBuff	773012																																		
773012000	AddBehavior	773012																																		
773013	AddBuff	773013																																		
773013000	AddBehavior	773013																																		
773014	AddBuff	773014																																		
773014000	AddBehavior	773014																																		
773015	AddBuff	773015																																		
773015000	ChangeAttribAdditive	23|0|-1000																																		
773016	AddBuff	773016																																		
773016000	ChangeAttribAdditive	23|0|-2000																																		
773017	AddBuff	773017																																		
773017000	ChangeAttribAdditive	23|0|-3000																																		
773018	AddBuff	773018																																		
773018000	AddBehavior	773018																																		
773019	AddBuff	773019																																		
773019000	AddBehavior	773019																																		
773020	AddBuff	773020																																		
773020000	AddBehavior	773020																																		
773021	AddBuff	773021																																		
773021000	ChangeAttribAdditive	4|0|-2000																																		
773022	AddBuff	773022																																		
773022000	ChangeAttribAdditive	4|0|-4000																																		
773023	AddBuff	773023																																		
773023000	ChangeAttribAdditive	4|0|-6000																																		
773024	AddBuff	773024																																		
773024000	ChangeAttribAdditive	3|0|-2000																																		
773025	AddBuff	773025																																		
773025000	ChangeAttribAdditive	3|0|-4000																																		
773026	AddBuff	773026																																		
773026000	ChangeAttribAdditive	3|0|-6000																																		
773027	AddBuff	773027																																		
773027000	AddBehavior	773027																																		
773028	AddBuff	773028																																		
773028000	AddBehavior	773028																																		
773029	AddBuff	773029																																		
773029000	AddBehavior	773029																																		
773030	AddBuff	773030																																		
773030000	ChangeAttribAdditive	25|-4000|0																																		
773031	AddBuff	773031																																		
773031000	ChangeAttribAdditive	25|-1000|0																																		
773032	AddBuff	773032																																		
773032000	ChangeAttribAdditive	25|-1000|0																																		
773033	ResetBuffDurationByKind	7730300																																		
773034	AddBuff	773034																																		
773034000	AddBehavior	773034																																		
773035	AddBuff	773035																																		
773035000	AddBehavior	773035																																		
773036	AddBuff	773036																																		
773036000	AddBehavior	773036																																		
773037	AddBuff	773037																																		
773037000	ChangeAttribAdditive	25|3000|0																																		
773038	AddBuff	773038																																		
773038000	ChangeAttribAdditive	25|400|0																																		
773039	AddBuff	773039																																		
773039000	ChangeAttribAdditive	25|400|0																																		
773040	ResetBuffDurationByKind	7730370																																		
773041	AddBuff	773041																																		
773041000	AddBehavior	773041																																		
773042	AddBuff	773042																																		
773042000	AddBehavior	773042																																		
773043	AddBuff	773043																																		
773043000	AddBehavior	773043																																		
773044	AddBuff	773044																																		
773044000	AddProtector	31|0|1|1500|1																																		
773045	AddBuff	773045																																		
773045000	AddProtector	31|0|1|1500|1																																		
773046	AddBuff	773046																																		
773046000	AddProtector	31|0|1|1500|1																																		
773047	AddBuff	773047																																		
773048	AddBuff	773048																																		
773048000	AddBehavior	773048																																		
773049	AddBuff	773049																																		
773049000	AddBehavior	773049																																		
773050	AddBuff	773050																																		
773050000	AddBehavior	773050																																		
773051	Damage	50|0|100000|0|0|0|0|0																																		
773052	Damage	50|0|5000|0|0|0|0|0																																		
773053	Damage	50|0|5000|0|0|0|0|0																																		
773054	AddBuff	773054																																		
773054000	AddNpcState	23																																		
773055	AddBuff	773055																																		
773055000	AddBehavior	773055																																		
773056	AddBuff	773056																																		
773056000	AddBehavior	773056																																		
773057	AddBuff	773057																																		
773057000	AddBehavior	773057																																		
773058	AddBuff	773058																																		
773058000	ChangeAttribAdditive	34|-1500|0																																		
773059	AddBuff	773059																																		
773059000	ChangeAttribAdditive	34|-1500|0																																		
773060	AddBuff	773060																																		
773060000	ChangeAttribAdditive	34|-1500|0																																		
773061	Damage	50|0|0|1|0|1000|0|0																																		
773062	Damage	50|0|0|1|0|1000|0|0																																		
773063	Damage	50|0|0|1|0|1000|0|0																																		
773064	AddBuff	773064																																		
773065	AddBuff	773065																																		
773065000	AddBehavior	773065																																		
773066	AddBuff	773066																																		
773066000	AddBehavior	773066																																		
773067	AddBuff	773067																																		
773067000	AddBehavior	773067																																		
773068	AddBuff	773068																																		
773068000	ChangeAttribAdditive	35|-1500|0																																		
773069	AddBuff	773069																																		
773069000	ChangeAttribAdditive	35|-1500|0																																		
773070	AddBuff	773070																																		
773070000	ChangeAttribAdditive	35|-1500|0																																		
773071	Damage	50|0|0|2|0|1000|0|0																																		
773072	Damage	50|0|0|2|0|1000|0|0																																		
773073	Damage	50|0|0|2|0|1000|0|0																																		
773074	AddBuff	773074																																		
773075	AddBuff	773075																																		
773075000	AddBehavior	773075																																		
773076	AddBuff	773076																																		
773076000	AddBehavior	773076																																		
773077	AddBuff	773077																																		
773077000	AddBehavior	773077																																		
773078	AddBuff	773078																																		
773078000	ChangeAttribAdditive	36|-1500|0																																		
