Id	Name	Level[1]	Level[2]	Level[3]	Level[4]	Level[5]	Level[6]	Level[7]	Level[8]	Level[9]	Level[10]	Level[11]	Level[12]	Level[13]	Level[14]	Level[15]	Level[16]	Level[17]	Level[18]	Level[19]	Level[20]	Level[21]	Level[22]	Level[23]	Level[24]	Level[25]	Level[26]	Level[27]	Level[28]	Level[29]	Level[30]	Level[31]	Level[32]	Level[33]	Level[34]	Level[35]
750501	AddBuff	750501																																		
750501000	AddBehavior	750501																																		
750502	AddBuff	750502																																		
750502000	AddBehavior	750502																																		
750503	AddBuff	750503																																		
750503000	AddBehavior	750503																																		
750504	AddBuff	750504																																		
750504000	AddBehavior	750504																																		
750505	AddBuff	750505																																		
750505000	AddBehavior	750505																																		
750506	AddBuff	750506																																		
750507	AddBuff	750507																																		
750508	AddBuff	750508																																		
750508000	AddBehavior	750508																																		
750509	AddBuff	750509																																		
750509000	AddBehavior	750509																																		
750510	AddBuff	750510																																		
750510000	AddBehavior	750510																																		
750511	AddBuff	750511																																		
750511000	AddBehavior	750511																																		
750512	AddBuff	750512																																		
750512000	AddBehavior	750512																																		
750513	AddBuff	750513																																		
750513000	AddBehavior	750513																																		
750515	AddBuff	750515																																		
750515000	AddBehavior	750515																																		
750516	AddBuff	750516																																		
750516000	AddBehavior	750516																																		
750517	AddBuff	750517																																		
750517000	AddBehavior	750517																																		
750518	AddBuff	750518																																		
750519	AddBuff	750519																																		
750520	AddBuff	750520																																		
750521	AddBuff	750521																																		
750522	AddBuff	750522																																		
750523	AddBuff	750523																																		
750524	AddBuff	750524																																		
750524000	AddNpcState	23																																		
750525	AddBuff	750525																																		
750525000	AddBehavior	750525																																		
750526	AddBuff	750526																																		
750526000	AddBehavior	750526																																		
750527	AddBuff	750527																																		
750527000	AddBehavior	750527																																		
