Id	Name	Level[1]	Level[2]	Level[3]	Level[4]	Level[5]	Level[6]	Level[7]	Level[8]	Level[9]	Level[10]	Level[11]	Level[12]	Level[13]	Level[14]	Level[15]	Level[16]	Level[17]	Level[18]	Level[19]	Level[20]	Level[21]	Level[22]	Level[23]	Level[24]	Level[25]	Level[26]	Level[27]	Level[28]	Level[29]	Level[30]	Level[31]	Level[32]	Level[33]	Level[34]	Level[35]
999911	AddBuff	999911																																		
999911000	ChangeAttribValue	1|100000|																																		
999912	AddBuff	999912																																		
999912000	ChangeAttribAdditive	32|3925|																																		
999913	AddBuff	999913																																		
999913000	ChangeAttribAdditive	32|-2500|																																		
999914	AddBuff	999914																																		
999914000	ChangeAttribAdditive	25|1500|0																																		
999915	AddBuff	999915																																		
999915000	ChangeAttribAdditive	25|1500|0																																		
999916	AddBuff	999916																																		
999916000	ChangeAttribAdditive	25|1500|0																																		
999917	AddBuff	999917																																		
999917000	ChangeAttribAdditive	25|1500|0																																		
999918	AddBuff	999918																																		
999918000	AddBehavior	999918																																		
999919	AddBuff	999919																																		
999919000	Cure	1|3|0|2000|1																																		
999920	AddBuff	999920																																		
