Id	Name	Level[1]	Level[2]	Level[3]	Level[4]	Level[5]	Level[6]	Level[7]	Level[8]	Level[9]	Level[10]	Level[11]	Level[12]	Level[13]	Level[14]	Level[15]	Level[16]	Level[17]	Level[18]	Level[19]	Level[20]	Level[21]	Level[22]	Level[23]	Level[24]	Level[25]	Level[26]	Level[27]	Level[28]	Level[29]	Level[30]
110403012	ShakeCamera	4|00.35|-00.5|10|00.2|0																													
110403022	ShakeCamera	2|00.3|-00.75|10|00.25|1																													
110404012	ShakeCamera	4|00.35|-00.5|10|00.2|0																													
110404022	ShakeCamera	3|00.3|-00.75|10|00.25|1																													
110407012	ShakeCamera	3|00.35|-00.5|10|00.2|0																													
110408012	ShakeCamera	3|00.35|-00.5|10|00.2|0																													
110409012	ShakeCamera	3|00.35|-00.5|10|00.2|0																													
110413012	ShakeCamera	2|00.3|-1.5|10|00.15|0																													
110414012	ShakeCamera	2|00.3|-1.5|10|00.15|0																													
110415012	ShakeCamera	2|00.3|-1.5|10|00.15|0																													
110416012	ShakeCamera	2|00.3|-00.5|6|00.1|1																													
110416022	ShakeCamera	5|00.3|-00.5|8|00.2|0																													
110425012	ShakeCamera	3|00.3|-1.5|10|00.15|																													
110426012	ShakeCamera	4|00.25|-1|10|00.15|1																													
110426022	ShakeCamera	4|00.4|-1.5|10|00.2|2																													
110427012	ShakeCamera	4|00.25|-1|10|00.15|1																													
110427022	ShakeCamera	4|00.4|-1.5|10|00.2|2																													
110428012	ShakeCamera	3|00.5|-1.5|15|00.3|0																													
110429012	ShakeCamera	4|00.35|-3|10|00.1|1																													
110429022	ShakeCamera	4|00.35|-3|10|00.1|2																													
110429032	ShakeCamera	4|00.35|-1.5|10|00.2|1																													
110431012	ShakeCamera	3|00.3|-1.5|10|00.15|																													
110432012	ShakeCamera	3|00.5|-1.5|15|00.3|0																													
110433012	ShakeCamera	4|00.55|-2.5|5|00.2|0																													
110433022	ShakeCamera	4|00.55|-2.5|5|00.2|1																													
110434012	ShakeCamera	4|00.55|-2.5|5|00.2|0																													
110434022	ShakeCamera	4|00.55|-2.5|5|00.2|1																													
