Id	GroupId	Weight	Type	ResType	RecHpPer	FightStageId	RewardPoolId	RewardCount	EventPoolId	SubHpProbability	SubHpMinPer	SubHpMaxPer	ShowRewardId	RewardMoneyCount	UseActionPoint
1	1	100	1	1											0
2	1	100	1	1											0
3	1	100	1	1											0
4	1	100	1	1											0
5	1	100	1	1											0
6	1999	100	3	303		30140121	1	3					390216		1
7	1999	100	3	303		30140122	1	3					390216		1
8	1999	100	3	303		30140124	1	3					390216		1
9	1999	100	3	303		30140125	1	3					390216		1
10	1999	100	3	303		30140126	1	3					390216		1
11	2999	100	3	303		30140221	2	3					390216		1
12	2999	100	3	303		30140222	2	3					390216		1
13	2999	100	3	303		30140223	2	3					390216		1
14	2999	100	3	303		30140224	2	3					390216		1
15	2999	100	3	303		30140225	2	3					390216		1
16	2999	100	3	303		30140226	2	3					390216		1
17	2999	100	3	303		30140227	2	3					390216		1
18	2999	100	3	303		30140228	2	3					390216		1
19	2999	100	3	303		30140229	2	3					390216		1
20	2999	100	3	303		30140230	2	3					390216		1
21	3999	100	3	303		30140321	8	3					390216		1
22	3999	100	3	303		30140322	8	3					390216		1
23	3999	100	3	303		30140324	8	3					390216		1
24	3999	100	3	303		30140325	8	3					390216		1
25	3999	100	3	303		30140326	8	3					390216		1
26	4999	100	3	303		30140421	3	3					390216		1
27	4999	100	3	303		30140422	3	3					390216		1
28	4999	100	3	303		30140423	3	3					390216		1
29	4999	100	3	303		30140424	3	3					390216		1
30	4999	100	3	303		30140425	3	3					390216		1
31	4999	100	3	303		30140426	3	3					390216		1
32	4999	100	3	303		30140427	3	3					390216		1
33	4999	100	3	303		30140428	3	3					390216		1
34	4999	100	3	303		30140429	3	3					390216		1
35	4999	100	3	303		30140430	3	3					390216		1
36	5999	100	3	303		30140521	3	3					390216		1
37	5999	100	3	303		30140522	3	3					390216		1
38	5999	100	3	303		30140524	3	3					390216		1
39	5999	100	3	303		30140525	3	3					390216		1
40	5999	100	3	303		30140526	3	3					390216		1
41	2	100	2	2	100										1
42	2	100	2	2	100										1
43	2	100	2	2	100										1
44	2	100	2	2	100										1
45	2	100	2	2	100										1
46	2	100	2	2	100										1
47	2	100	2	2	100										1
48	2	100	2	2	100										1
49	1112	10000	5	5			2	1							1
50	1112	10000	9	9			1	3		3000	2	8	390001	25	1
51	1112	10000	9	9			1	3		3000	2	8	390001	25	1
52	1112	1	3	301		30140101	1	3					390216		1
53	1112	1	3	301		30140107	1	3					390216		1
54	1112	1	3	301		30140109	1	3					390216		1
55	1112	1	3	301		30140110	1	3					390216		1
56	1112	1	3	301		30140111	1	3					390216		1
57	1112	1	3	301		30140112	1	3					390216		1
58	1112	100	8	8					10001						1
59	1112	100	8	8					10002						1
60	1112	100	8	8					10003						1
61	1112	100	8	8					10004						1
62	1112	100	7	7					20002						1
63	1112	100	7	7					20006						1
64	1112	100	7	7					20010						1
65	1112	100	7	7					20017						1
66	1119	10000	9	9			1	3		3000	2	8	390001	25	1
67	1119	10000	6	6			2	4							1
68	1119	1	3	302		30140113	1	3					390216		1
69	1119	1	3	302		30140117	1	3					390216		1
70	1119	1	3	302		30140120	1	3					390216		1
71	1119	100	8	8					10005						1
72	1119	100	8	8					10020						1
73	1119	100	8	8					10021						1
74	1119	100	7	7					20001						1
75	1119	100	7	7					20002						1
76	1119	100	7	7					20006						1
77	11114	10000	9	9			1	3		3000	2	8	390001	25	1
78	11114	10000	4	4			1	4							1
79	11114	1	8	8					10001						1
80	11114	1	8	8					10002						1
81	11114	1	8	8					10004						1
82	11114	1	8	8					10005						1
83	11114	1	8	8					10006						1
84	11114	1	8	8					10007						1
85	11114	1	8	8					10008						1
86	11114	1	8	8					10009						1
87	11114	1	8	8					10010						1
88	11114	1	8	8					10012						1
89	11114	1	8	8					10013						1
90	11114	1	8	8					10014						1
91	11114	1	8	8					10015						1
92	11114	1	8	8					10016						1
93	11114	1	8	8					10017						1
94	11114	1	8	8					10019						1
95	11114	1	8	8					10020						1
96	11114	1	8	8					10021						1
97	11114	1	8	8					10022						1
98	11114	1	7	7					20001						1
99	11114	1	7	7					20002						1
100	11114	1	7	7					20003						1
101	11114	1	7	7					20005						1
102	11114	1	7	7					20006						1
103	11114	1	7	7					20007						1
104	11114	1	7	7					20013						1
105	11114	1	7	7					20016						1
106	11114	1	7	7					20017						1
107	11114	1	7	7					20018						1
108	11114	1	7	7					20019						1
109	11114	10000	9	9			1	3		3000	2	8	390001	25	1
110	11114	10000	4	4			1	4							1
111	229	10000	9	9			1	3		3000	2	8	390001	30	1
112	229	10000	2	2	100										1
113	229	1	3	301		30140201	1	3					390216		1
114	229	1	3	301		30140202	1	3					390216		1
115	229	1	3	301		30140203	1	3					390216		1
116	229	1	3	301		30140204	1	3					390216		1
117	229	1	3	301		30140205	1	3					390216		1
118	229	1	3	301		30140206	1	3					390216		1
119	229	1	3	301		30140207	1	3					390216		1
120	229	1	3	301		30140208	1	3					390216		1
121	229	1	3	301		30140209	1	3					390216		1
122	229	1	3	301		30140210	1	3					390216		1
123	229	1	3	301		30140211	1	3					390216		1
124	229	1	3	301		30140212	1	3					390216		1
125	229	100	8	8					10001						1
126	229	100	8	8					10002						1
127	229	100	8	8					10003						1
128	229	100	7	7					20005						1
129	229	100	7	7					20006						1
130	229	100	7	7					20020						1
131	2291	10000	9	9			1	3		3000	2	8	390001	30	1
132	2291	10000	9	9			1	3		3000	2	8	390001	30	1
133	2291	10000	5	5			2	1							1
134	2291	100	8	8					10005						1
135	2291	100	8	8					10007						1
136	2291	100	8	8					10012						1
137	2291	100	8	8					10015						1
138	2291	100	7	7					20001						1
139	2291	100	7	7					20002						1
140	2291	100	7	7					20004						1
141	2292	100	7	7					20020						1
142	2292	100	8	8					10020						1
143	2292	100	8	8					10021						1
144	2292	10000	5	5			2	1							1
145	2292	10000	9	9			1	3		3000	2	8	390001	30	1
146	2292	10000	9	9			2	3		3000	2	8	390001	30	1
147	2292	10000	4	4			5	4							1
148	2292	10000	6	6			2	4							1
149	2292	1	3	302		30140213	1	3					390216	30	1
150	2292	1	3	302		30140214	1	3					390216	30	1
151	2292	1	3	302		30140215	1	3					390216	30	1
152	2292	1	3	302		30140216	1	3					390216	30	1
153	2292	1	3	302		30140217	1	3					390216	30	1
