Id	Order	Color	Bg	Name	IsNotShow	TagGroupId[0]	TagGroupId[1]	TagGroupId[2]	TagGroupId[3]
201	1	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag2.png	Easy	0	1	2	0	0
202	2	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag2.png	Dorky	0	1	2	0	0
203	3	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag2.png	Fragile	0	1	2	0	0
204	4	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag2.png	Easy Peasy	0	1	2	0	0
301	5	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag3.png	Dummy	0	1	2	0	0
302	6	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag3.png	Good	0	1	2	0	0
303	7	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag3.png	Not So Hard	0	1	2	0	0
304	8	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag3.png	Average	0	1	2	0	0
401	9	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag4.png	High BP Req	0	1	2	0	0
402	10	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag4.png	PS Required	0	1	2	0	0
403	11	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag4.png	Challenging	0	1	2	0	0
404	12	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag4.png	Not Easy	0	1	2	0	0
501	13	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	Speedster	0	1	2	0	0
502	14	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	Damn Hard	0	1	2	0	0
503	15	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	Invulnerable	0	1	2	0	0
504	16	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	Tanky	0	1	2	0	0
505	17	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	Surprising	0	1	2	0	0
601	18	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag6.png	Bleugh	0	1	2	0	0
602	19	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag6.png	OHKO	0	1	2	0	0
603	20	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag6.png	Invincible	0	1	2	0	0
604	21	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag6.png	Torturous	0	1	2	0	0
605	98	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag6.png	Fun	0	1	2	0	0
606	99	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag6.png	Boring	0	1	2	0	0
9901	1001	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag3.png	Melee Main	0	99	0	0	0
9902	1002	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag3.png	Ranged Main	0	99	0	0	0
9903	1003	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag3.png	Single	0	99	0	0	0
9904	1004	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag3.png	Area Attack	0	99	0	0	0
9905	1005	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag4.png	Rush	0	99	0	0	0
9906	1006	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag4.png	Burst	0	99	0	0	0
9907	1007	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	Jack-of-all	0	99	0	0	0
9908	1008	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag2.png	Sitting Duck	0	99	0	0	0
9909	1009	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag4.png	Blast	0	99	0	0	0
9910	1010	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag4.png	Leap Attack	0	99	0	0	0
9911	1011	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	All-rounder	0	99	0	0	0
9912	1012	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	Henshin	0	99	0	0	0
9913	1013	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	Debuffer	0	99	0	0	0
9914	1014	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	Killer	0	99	0	0	0
9915	1015	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	Dexterous	0	99	0	0	0
9916	1016	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	Stealthy	0	99	0	0	0
9917	1017	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	Support	0	99	0	0	0
9918	1018	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	Reckless	0	99	0	0	0
9919	1019	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	Cunning	0	99	0	0	0
9920	1020	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	Long Haul	0	99	0	0	0
9921	1021	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	Hole Digger	0	99	0	0	0
9922	1022	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	Flash	0	99	0	0	0
9923	1023	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	Retaliates	0	99	0	0	0
9924	1024	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	Berserk	0	99	0	0	0
9925	1025	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	Aerial	0	99	0	0	0
9926	1026	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	Charged Attraction	0	99	0	0	0
9927	1027	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	Attack-Defense Switch	0	99	0	0	0
9928	1028	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	Flash Counterattack	0	99	0	0	0
9929	1029	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	Phantom Attack	0	99	0	0	0
9930	1030	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	Prolonged Weapon	0	99	0	0	0
