Id	Key[1]	Key[2]	Key[3]	Key[4]	Key[5]	Key[6]	Key[7]	Key[8]	Key[9]	Key[10]	Key[11]	Key[12]	Key[13]	Key[14]	Key[15]	Key[16]	Key[17]	Key[18]	Key[19]	Key[20]	Key[21]	Key[22]	Key[23]	Key[24]	Key[25]	Key[26]	Key[27]	Key[28]	Key[29]	Key[30]	Key[31]	Key[32]	Key[33]	Key[34]	Key[35]	Key[36]	Key[37]	Key[38]	Key[39]	Key[40]	Key[41]	Key[42]	Key[43]	Key[44]	Key[45]	Key[46]	Key[47]	Key[48]	Key[49]	Key[50]	Key[51]	Key[52]	Key[53]	Key[54]	Key[55]	Key[56]	Key[57]	Key[58]	Key[59]	Key[60]	Key[61]	Key[62]	Key[63]	Key[64]	Key[65]	Key[66]	Key[67]	Key[68]	Key[69]	Key[70]	Key[71]	Key[72]	Key[73]	Key[74]	Key[75]	Key[76]	Key[77]	Key[78]	Key[79]	Key[80]
110301	2|Cast|11030101	3|Cast|11030102	0|Effect|FxR2WeilaAttack01||1|																																																																													
110302	4|Cast|11030201	9|Cast|11030202	4|Effect|FxR2WeilaAttack0201||1|	9|Effect|FxR2WeilaAttack0202||1|	0|Effect|FxR2WeilaAttack02Sound||1|																																																																											
110303	4|Cast|11030302	5|Cast|11030303	11|Cast|11030304	12|Cast|11030305	4|Effect|FxR2WeilaAttack0301||1|	11|Effect|FxR2WeilaAttack0302||1|	4|Cast|11030308	0|Effect|FxR2WeilaAttack03Sound||1|	11|Shake|3|0.15|-0.5|10|0.15|2																																																																							
110304	3|Cast|11030401	4|Cast|11030402	5|Cast|11030403	6|Cast|11030404	10|Cast|11030405	16|Cast|11030406|11030411	3|Effect|FxR2WeilaAttack0401||1|	9|Effect|FxR2WeilaAttack0402||1|	16|Cast|11030409	0|Effect|FxR2WeilaAttack04Sound||1|																																																																						
110305	5|Cast|11030501	13|Cast|11030502	4|Effect|FxR2WeilaAttack0501||1|	13|Effect|FxR2WeilaAttack0502||1|	1|Effect|FxR2WeilaWuqiBao|WeaponCase1|1|	34|Effect|FxR2WeilaWuqiXiaoshi|WeaponCase1|1|	0|Effect|FxR2WeilaAttack05Sound||1|																																																																									
110306	3|Cast|11030601	4|Cast|11030602	6|Cast|11030603	8|Cast|11030604	11|Cast|11030605	13|Cast|11030606	18|Cast|11030607	22|Cast|11030608	0|Effect|FxR2WeilaAttack11Sound||1|	2|Cast|11030610	18|Cast|11030611	0|Cast|11030613	4|Cast|11030614	9|Cast|11030615	19|Cast|11030616	21|Cast|11030617	2|Cast|11030618	5|Cast|11030619	11|Cast|11030620	900|Effect|FxR2WeilaAttack11M||1|	25|Magic|110315|0																																																											
110307	3|Cast|11030701	4|Cast|11030702	6|Cast|11030703	8|Cast|11030704	11|Cast|11030705	13|Cast|11030706	18|Cast|11030707	22|Cast|11030708	0|Effect|FxR2WeilaAttack11Sound||1|	2|Cast|11030710	18|Cast|11030711	0|Cast|11030713	4|Cast|11030714	9|Cast|11030715	19|Cast|11030716	21|Cast|11030717	2|Cast|11030718	5|Cast|11030719	11|Cast|11030720	900|Effect|FxR2WeilaAttack11M||1|	25|Magic|110315|0																																																											
110308	3|Cast|11030801	4|Cast|11030802	6|Cast|11030803	8|Cast|11030804	11|Cast|11030805	13|Cast|11030806	18|Cast|11030807	22|Cast|11030808	0|Effect|FxR2WeilaAttack13Sound||1|	2|Cast|11030810	18|Cast|11030811	0|Cast|11030813	4|Cast|11030814	9|Cast|11030815	19|Cast|11030816	21|Cast|11030817	2|Cast|11030818	5|Cast|11030819	11|Cast|11030820	0|Effect|FxR2WeilaAttack11M||1|	25|Magic|110315|0																																																											
110309	3|Cast|11030901	3|Move|-10|0.1|20	0|Effect|FxR2WeilaAttack21||1|	4|Cast|11030904	4|Shake|3|0.15|-0.5|10|0.25|1																																																																											
110310	3|Cast|11031001	3|Move|-10|0.1|20	0|Effect|FxR2WeilaAttack21||1|	4|Cast|11031004	4|Shake|3|0.15|-0.5|10|0.25|1																																																																											
