Id	Key[1]	Key[2]	Key[3]	Key[4]	Key[5]	Key[6]	Key[7]	Key[8]	Key[9]	Key[10]	Key[11]	Key[12]	Key[13]	Key[14]	Key[15]	Key[16]	Key[17]	Key[18]	Key[19]	Key[20]	Key[21]	Key[22]	Key[23]	Key[24]	Key[25]	Key[26]	Key[27]	Key[28]	Key[29]	Key[30]	Key[31]	Key[32]	Key[33]	Key[34]	Key[35]	Key[36]	Key[37]	Key[38]	Key[39]	Key[40]	Key[41]	Key[42]	Key[43]	Key[44]	Key[45]	Key[46]	Key[47]	Key[48]	Key[49]	Key[50]	Key[51]	Key[52]	Key[53]	Key[54]	Key[55]	Key[56]	Key[57]	Key[58]	Key[59]	Key[60]	Key[61]	Key[62]	Key[63]	Key[64]	Key[65]	Key[66]	Key[67]	Key[68]	Key[69]	Key[70]	Key[71]	Key[72]	Key[73]	Key[74]	Key[75]	Key[76]	Key[77]	Key[78]	Key[79]	Key[80]
907001	22|Cast|90700101	47|Cast|90700102	10|Effect|FxYubei02|Earring01|1|	17|Turn|500|0.1|1	0|Effect|FxMe1ZhizunMd000001Attack01||1|	35|Effect|FxYubei02|Earring01|1|																																																																										
907002	13|Cast|90700201	1|Effect|FxYubei02|Earring01|1|	0|Effect|FxMe1ZhizunMd000001Attack04||1|																																																																													
907003	0|Magic|907015|0	0|Effect|FxMe1ZhizunMd000001Attack06||1|																																																																														
907004	0|Effect|FxMe1ZhizunMd000001Attack07|0|1|																																																																															
907005	10|Cast|90700501	0|Effect|FxYubei02|Earring01|1|	0|Cast|90700503	0|Effect|FxMe1ZhizunMd000001Attack08||1|	10|Magic|907053|0																																																																											
907006	26|Cast|90700601	20|Cast|90700602	0|Cast|90700603	12|Effect|FxYubei02|Earring01|1|	4|Turn|240|0.5|1	0|Effect|FxMe1ZhizunMd000001Attack09||1|																																																																										
907007	20|Cast|90700701	20|Magic|907033|0	0|Effect|FxMe1ZhizunMd000001Attack10||1|	0|Magic|907039|0	8|Effect|FxYubei02|Earring01|1|																																																																											
907008	10|Cast|90700801	0|Effect|FxYubei02|Earring01|1|	0|Cast|90700803	0|Effect|FxMe1ZhizunMd000001Attack08||1|	10|Magic|907053|0																																																																											
907009	16|Cast|90700901	4|Effect|FxYubei02|Earring01|1|	0|Effect|FxMe1ZhizunMd000001Attack02||1|	11|Turn|500|0.1|1																																																																												
907010	10|Cast|90701001	0|Effect|FxYubei02|Earring01|1|	0|Effect|FxMe1ZhizunMd000001Attack03||1|	5|Turn|500|0.1|1																																																																												
907011	13|Cast|90701101	24|Cast|90701102	1|Effect|FxYubei02|Earring01|1|	19|Turn|500|0.1|1	0|Effect|FxMe1ZhizunMd000001Attack05||1|																																																																											
907012	19|Cast|90701201	20|Cast|90701202	23|Cast|90701203	24|Cast|90701204	34|Cast|90701205|90701206	0|Effect|FxMe1ZhizunMd000001Attack11||1|	6|Turn|240|1.8|1	7|Effect|FxYubei02|Earring01|1|	25|Magic|907042|0	5|Cast|90701211|90701212	14|Cast|90701213|90701214																																																																					
907013	0|Effect|FxYubei02|Earring01|1|	17|Magic|907020|0	0|Effect|FxYubei02||1|																																																																													
907014	0|Cast|90701401	1|Move|80|0.3|-100	10|Magic|907021|0	0|Magic|907030|0	0|Effect|FxYubei02||1|	0|Effect|FxYubei02||1|																																																																										
907015	0|Cast|90701501	1|Move|80|0.3|-100	10|Magic|907022|0	0|Magic|907030|0	0|Effect|FxYubei02||1|	0|Effect|FxYubei02||1|																																																																										
907016	0|Cast|90701601	1|Move|80|0.3|-100	0|Effect|FxYubei02||1|	0|Effect|FxYubei02||1|																																																																												
907017	0|Magic|907034|0																																																																															
907018	22|Magic|907036|0	0|Effect|FxMe1ZhizunMd000001Born2chuchang||1|																																																																														
