Id	RoundId	RewardId	Weight	RewardText	RewardSignPath	RewardSignDesc
1	1	2000148	90	When the east wind blows let it send your fragrance, oh plum blossoms\nAlthough your master is gone, do not forget the spring	Assets/Product/Texture/Image/UiSignBanner/SignDiviningBg06.png	Great
2	1	2000149	72	When the east wind blows let it send your fragrance, oh plum blossoms\nAlthough your master is gone, do not forget the spring	Assets/Product/Texture/Image/UiSignBanner/SignDiviningBg06.png	Great
3	1	2000150	72	On this journey, I have no streamers made of silk to offer up\nGods, if it pleases you,may you take instead this beautiful brocade of autumn leaves	Assets/Product/Texture/Image/UiSignBanner/SignDiviningBg06.png	Great
4	1	2000151	54	On this journey, I have no streamers made of silk to offer up\nGods, if it pleases you,may you take instead this beautiful brocade of autumn leaves	Assets/Product/Texture/Image/UiSignBanner/SignDiviningBg06.png	Great
5	1	2000152	72	On this journey, I have no streamers made of silk to offer up\nGods, if it pleases you,may you take instead this beautiful brocade of autumn leaves	Assets/Product/Texture/Image/UiSignBanner/SignDiviningBg06.png	Great
6	1	2000153	150	The moon will shed light on my pure heart\nEven to the depth of flooding waters that is not the sea		Good
7	1	2000154	120	The moon will shed light on my pure heart\nEven to the depth of flooding waters that is not the sea		Good
8	1	2000155	120	The moon will shed light on my pure heart\nEven to the depth of flooding waters that is not the sea		Good
9	1	2000156	90	Sound of the waterfall has long ceased\nBut indeed, its name, it flows, to be heard as back then		Good
10	1	2000157	120	Sound of the waterfall has long ceased\nBut indeed, its name, it flows, to be heard as back then		Good
11	1	2000158	60	Even in the age of almighty gods unheard of\nThe waters of Tatsuta are tie-dyed in crimson	Assets/Product/Texture/Image/UiSignBanner/SignDiviningBg07.png	Very Good
12	1	2000159	48	Even in the age of almighty gods unheard of\nThe waters of Tatsuta are tie-dyed in crimson	Assets/Product/Texture/Image/UiSignBanner/SignDiviningBg07.png	Very Good
13	1	2000160	48	If one's heart is honest\nHe shall be blessed despite not praying to the god	Assets/Product/Texture/Image/UiSignBanner/SignDiviningBg07.png	Very Good
14	1	2000161	36	If one's heart is honest\nHe shall be blessed despite not praying to the god	Assets/Product/Texture/Image/UiSignBanner/SignDiviningBg07.png	Very Good
15	1	2000162	48	If one's heart is honest\nHe shall be blessed despite not praying to the god	Assets/Product/Texture/Image/UiSignBanner/SignDiviningBg07.png	Very Good
