Id	Name	Info	BornPosition[1]	BornPosition[2]	BornPosition[3]	BornPosition[4]	BornPosition[5]	LookPosition[1]	LookPosition[2]	LookPosition[3]	LookPosition[4]	LookPosition[5]	DefaultObstacleArea[1]	DefaultObstacleArea[2]	DefaultObstacleArea[3]	DefaultObstacleArea[4]	DefaultDynamicObject[1]	DefaultDynamicObject[2]	DefaultDynamicObject[3]	DefaultDynamicObject[4]
301802210	Scene00005a	80008190	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
301802220	Scene01201a	30180222	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802230	Scene01201a	30180222	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802240	Scene01201a	30180222	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802250	Scene01203	30180225	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802260	Scene01203	30180225	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802270	Scene01203	30180225	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802280	Scene07005	21010101	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
301802290	Scene01206	30180229	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802300	Scene01206	30180229	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802310	Scene00005a	80008190	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
301802320	Scene00404a	30150232	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802330	Scene00404a	30150232	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802340	Scene00404a	30150232	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802350	Scene00404a	30150232	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802360	Scene00503d	30180236	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802370	Scene00503d	30180236	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802380	Scene90103	20010201	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
301802390	Scene00901a	30180239	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
301802400	Scene00901a	30180239	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
301802410	Scene00308d	30180241	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
301802420	SceneDLC00103	30150242	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802430	SceneDLC00103	30150242	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802440	SceneDLC00103	30150242	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802450	SceneDLC00103	30150242	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802460	SceneDLC00103	30150242	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802470	SceneDLC00103	30150242	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802480	SceneDLC00101	30110108	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
301802490	SceneDLC00101	20000401	PB1	PB2	PB3	PB4	PB5	ZX1	ZX1	ZX1	ZX1	ZX1								
301802500	SceneDLC00101	20000401	PB1	PB2	PB3	PB4	PB5	ZX1	ZX1	ZX1	ZX1	ZX1								
301802510	Scene07005	21010101	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
301802520	Scene01108	30150252	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802530	Scene01108	30150252	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802540	Scene01108	30150254	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802550	Scene01108	30150254	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802560	Scene01104	30180256	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802570	Scene01104	30180256	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802580	Scene01106	30150258	PB2	PB2	PB3	PB4	PB5	B102	S1	S1	S1	S1								
301802590	Scene01106	10110204	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
301802600	Scene01106	10110204	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
301802610	Scene07005	21010101	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
301802620	Scene00904a	30150262	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802630	Scene00904a	30150262	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802640	Scene00904a	30150262	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802650	Scene00905a	30150265	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802660	Scene00905a	30150265	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802670	Scene00905a	30150265	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
301802680	Scene00903a	12090301	PB1	PB2	PB3	PB4	PB5	S1	B101	B101	B101	B101								
301802690	Scene07005	30000901	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
301802700	Scene07005	30000901	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
