Id	Name	Info	BornPosition[1]	BornPosition[2]	BornPosition[3]	BornPosition[4]	BornPosition[5]	LookPosition[1]	LookPosition[2]	LookPosition[3]	LookPosition[4]	LookPosition[5]	DefaultObstacleArea[1]	DefaultObstacleArea[2]	DefaultObstacleArea[3]	DefaultObstacleArea[4]	DefaultDynamicObject[1]	DefaultDynamicObject[2]	DefaultDynamicObject[3]	DefaultDynamicObject[4]
140205110	Scene00203a	14020511	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4	S5								
140205120	Scene00203a	14020511	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4	S5								
140205130	Scene00203a	14020511	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4	S5								
140205140	Scene00203a	14020514	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4	S5								
140205210	Scene00503d	14020521	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4	S5								
140205220	Scene00503d	14020522	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4	S5								
140205230	Scene00503d	14020522	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4	S5								
140205240	Scene00503d	14020524	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4	S5								
140205310	Scene00504b	14020531	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4	S5								
140205320	Scene00504b	14020532	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4	S5								
140205330	Scene00504b	14020533	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4	S5								
140205340	Scene00504b	14020534	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4	S5								
