Id	Name	Info	BornPosition[1]	BornPosition[2]	BornPosition[3]	BornPosition[4]	BornPosition[5]	LookPosition[1]	LookPosition[2]	LookPosition[3]	LookPosition[4]	LookPosition[5]	DefaultObstacleArea[1]	DefaultObstacleArea[2]	DefaultObstacleArea[3]	DefaultObstacleArea[4]	DefaultDynamicObject[1]	DefaultDynamicObject[2]	DefaultDynamicObject[3]	DefaultDynamicObject[4]
999200010	Scene07005	99920001	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4	S5								
999200020	Scene00301d	99920002	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4	S5								
999200030	SceneDLC00103	99920003	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4	S5								
999200040	SceneDLC00103	99920004	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4	S5								
999200050	Scene00301d	99920005	PB1	PB1	PB1	PB1	PB1	S1	S2	S3	S4	S5								
999200100	Scene01201	99920010	PB1	PB2	PB3	PB4	PB5	S1	S2	S3	S4	S5								
999200110	Scene01201	99920011	PB1	PB2	PB3	PB4	PB5	S1	S2	S3	S4	S5								
999200120	Scene01201a	99920012	PB1	PB2	PB3	PB4	PB5	S1	S2	S3	S4	S5								
999200150	Scene01106	99920015	PB1					B1												
999200160	Scene01206	99920016	PB1					B1												
999200200	Scene91105	99920020	PB1	PB2	PB3	PB4	PB5	End	S2	S3	S4	S5								
999200300	Scene01303	99920030	PB1	PB2	PB3	PB4	PB5	S1	S2	S3	S4	S5								
999200400	Scene01304	99920040	PB1	PB2	PB3	PB4	PB5	S1	S2	S3	S4	S5								
999200510	Scene07004	12050301	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200520	Scene01104	14010223	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200530	Scene01303	99920053	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200540	SceneDLC00104	30150185	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200550	Scene01301	99920055	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200560	Scene01201a	99920056	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200570	Scene01304	99920057	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200580	Scene01304	99920057	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200590	Scene01304	99920057	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200600	Scene01304	99920057	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200610	Scene01304	99920057	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200710	Scene92101a	99920071	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200720	Scene01106	99920072	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200730	Scene00306d	99920073	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200740	Scene00304d	99920074	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200750	Scene01301	99920075	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200760	Scene01304	99920076	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200770	Scene01106	99920072	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200780	Scene01303	99920078	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200790	Scene01303	99920079	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200800	Scene01105	99920080	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200810	Scene01202	99920081	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200820	Scene01106	99920072	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200830	Scene00503d	99920083	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200840	Scene01003	99920084	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200850	Scene01007	99920085	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200860	Scene01201	99920086	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200870	Scene01202	99920087	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200880	Scene01106	99920088	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200890	Scene01206	99920089	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200900	Scene00901a	99920090	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
999200910	Scene90105a	99920091	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
