Info	Key	X	Y
99940001	PB1	2361	285
99940001	NPCPB1	2876	445
99940001	END	2526	5312
99940001	BB1	2524	5727
99940001	B0	2594	445
99940001	EX1	1635	2082
99940001	EX2	3458	2079
99940001	EX3	4128	283
99940001	B1	1634	3184
99940001	B2	3486	3175
99940001	B3	4025	522
99940001	B4	1606	4280
99940001	B5	3458	4288
99940001	B6	4266	618
99940001	TT1	2241	634
99940001	TT2	2725	637
99940001	TT3	4040	406
99940001	TA1	1628	1696
99940001	TA2	3453	1696
99940001	TA3	4255	390
99940001	TT4	1602	4631
99940001	TT5	3460	4644
99940001	TT6	4412	397
99940001	PB2	2624	287
80020102	Center	3500	3400
80020102	M01	3000	2600
80020102	M02	3300	2600
80020102	M03	3600	2600
80020102	M04	3900	2600
80020102	PB1	0	0
80020102	Buy	2850	3900
80020102	F01	3000	3400
80020102	F02	3300	3400
80020102	F03	3600	3400
80020102	F04	3900	3400
30190101	PB1	2339	289
30190101	PB2	2462	292
30190101	PB3	2582	285
30190101	S1	2494	785
30190101	S2	1623	2730
30190101	S3	3871	2846
30190101	B101	1624	3653
30190101	B102	3897	3794
30190101	B201	2484	6583
30190101	CS1	2179	795
30190101	CS2	2971	793
30190101	CS11	1615	1826
30190101	CS22	3888	1852
30190101	CS3	1514	4636
30190101	CS4	3886	4742
30190101	CS5	2335	5666
30190101	B103	3558	3968
30190101	B104	4188	3958
30190101	BD1	2467	3466
30190101	BD2	3227	3482
30190101	S4	2487	6224
30190101	ZX1	2762	6486
30190101	CS6	2497	5666
30190101	CS7	2656	5663
20010109	PB1	2475	378
20010109	S1	3723	2069
20010109	S2	3740	2067
20010109	B101	3456	2294
20010109	B102	4018	2294
20010109	B103	3727	2509
20010109	B104	3729	2292
20010109	B301	1344	2410
20010109	S3	2474	668
20010109	TL1	2234	637
20010109	TL2	2723	646
20010109	TLP1	1605	1904
20010109	TLP2	3723	1912
20010109	B302	1864	2405
20010109	B303	1617	2537
20010109	B201	3463	2297
20010109	B202	4018	2301
20010109	B203	3729	2517
20010109	S4	1606	1993
