Id	Behavior	Name	Environment	TerrainRoot	CloseLoadingDelay	SwitchNpcCd	SceneCamera	CameraId	Terrains[1]	Terrains[2]	Terrains[3]	Position[1]	Position[2]	Position[3]	Rotation[1]	Rotation[2]	Rotation[3]
10030101	10030101	Normal 3-1			0.15	15	2	9	100301010			0|0|0			0|0|0		
10030102	10030102	Normal 3-2			0.15	15	1	9	100301020			0|0|0			0|0|0		
10030103	10030103	Normal 3-3			0.15	15	1	9	100301030			0|0|0			0|0|0		
10030104	10030104	Normal 3-4			0.15	15	2	9	100301040			0|0|0			0|0|0		
10030201	10030201	Normal 3-5			0.15	15	2	9	100302010			0|0|0			0|0|0		
10030202	10030202	Normal 3-6			0.15	15	2	9	100302020			0|0|0			0|0|0		
10030203	10030203	Normal 3-7			0.15	15	2	9	100302030			0|0|0			0|0|0		
10030204	10030204	Normal 3-8			0.15	15	7	9	100302040			0|0|0			0|0|0		
10030301	10030301	Normal 3-9			0.15	15	7	9	100303010			0|0|0			0|0|0		
10030302	10030302	Normal 3-10			0.15	15	7	9	100303020			0|0|0			0|0|0		
10030303	10030303	Normal 3-11			0.15	15	8	10	100303030			0|0|0			0|0|0		
10030304	10030304	Normal 3-12			0.15	15	8	10	100303040			0|0|0			0|0|0		
10030401	10030401	Danger 3-1			0.15	15	2	9	100304010			0|0|0			0|0|0		
10030402	10030402	Danger 3-2			0.15	15	1	9	100304020			0|0|0			0|0|0		
10030403	10030403	Danger 3-3			0.15	15	1	9	100304030			0|0|0			0|0|0		
10030404	10030404	Danger 3-4			0.15	15	2	9	100304040			0|0|0			0|0|0		
10030501	10030501	Danger 3-5			0.15	15	2	9	100305010			0|0|0			0|0|0		
10030502	10030502	Danger 3-6			0.15	15	2	9	100305020			0|0|0			0|0|0		
10030503	10030503	Danger 3-7			0.15	15	2	9	100305030			0|0|0			0|0|0		
10030504	10030504	Danger 3-8			0.15	15	7	9	100305040			0|0|0			0|0|0		
10030601	10030601	Danger 3-9			0.15	15	7	9	100306010			0|0|0			0|0|0		
10030602	10030602	Danger 3-10			0.15	15	7	9	100306020			0|0|0			0|0|0		
10030603	10030603	Danger 3-11			0.15	15	8	10	100306030			0|0|0			0|0|0		
10030604	10030604	Danger 3-12			0.15	15	8	10	100306040			0|0|0			0|0|0		
