Id	Behavior	Name	Environment	TerrainRoot	CloseLoadingDelay	SwitchNpcCd	SceneCamera	CameraId	Terrains[1]	Terrains[2]	Terrains[3]	Position[1]	Position[2]	Position[3]	Rotation[1]	Rotation[2]	Rotation[3]
10050101	10050101	Normal 5-1			0.15	15	2	9	100501010			0|0|0			0|0|0		
10050102	10050102	Normal 5-2			0.15	15	1	9	100501020			0|0|0			0|0|0		
10050103	10050103	Normal 5-3			0.15	15	1	9	100501030			0|0|0			0|0|0		
10050104	10050104	Normal 5-4			0.15	15	1	9	100501040			0|0|0			0|0|0		
10050201	10050201	Normal 5-5			0.15	15	2	9	100502010			0|0|0			0|0|0		
10050202	10050202	Normal 5-6			0.15	15	2	9	100502020			0|0|0			0|0|0		
10050203	10050203	Normal 5-7			0.15	15	2	9	100502030			0|0|0			0|0|0		
10050204	10050204	Normal 5-8			0.15	15	2	9	100502040			0|0|0			0|0|0		
10050301	10050301	Normal 5-9			0.15	15	1	9	100503010			0|0|0			0|0|0		
10050302	10050302	Normal 5-10			0.15	15	18	9	100503020			0|0|0			0|0|0		
10050303	10050303	Normal 5-11			0.15	15	1	10	100503030			0|0|0			0|0|0		
10050304	10050304	Normal 5-12			0.15	15	1	9	100503040			0|0|0			0|0|0		
