Id	Name	SkillType	CastTime	AfterTime	Animation	CastMagicIds	FinalMagicIds	Cd	DistNoTarget	SkillMoveType	DistAbort	SkillMoveTrackDistance	MissileLockTarget	SkillFaceType	DodgeLimitTime
110501	普攻1	1	0.55	1.25	Attack01	110540			10	2		2	0	0	
110502	普攻2	1	0.6	1.45	Attack02				10	2		2	0	0	
110503	普攻3	1	0.95	2.4	Attack03				10	2		2	0	0	
110504	普攻4	1	0.5	2.6	Attack04				10	2		2	0	0	
110505	普攻5	1	0.95	1.55	Attack05				10	2		2	0	0	
110506	普攻6	1	1.2	1.8	Attack06				10	2		2	0	0	
110507	红球1消	11	0.75	1.1	Attack11				10	2		2	0	0	
110508	红球2消	12	0.75	1.1	Attack11				10	2		2	0	0	
110509	红球3消	13	0.75	1.1	Attack11				10	2		2	0	0	
110510	蓝球1消	21	1.25	1.85	Attack21				10	2		2	0	0	
110511	蓝球2消	22	1.25	1.85	Attack21				10	2		2	0	0	
110512	蓝球3消	23	1.25	1.85	Attack21				10	2		2	0	0	
110513	黄球1消	31	1	1.9	Attack31	110538	110539		10	2		1	0	5	
110514	黄球2消	32	1	1.9	Attack31	110538	110539		10	2		1	0	5	
110515	黄球3消	33	1	1.9	Attack31	110538	110539		10	2		1	0	5	
110516	QTE技能	7	2.1	1	AttackQte	100091	100092		10	2		2	0	0	
110517	闪避	5	0.4	1.1	Move1	100090			10	2		2	0	0	0.4
110518	默认向后闪避	6	0.4	0.9	Move2	100090			10	2		2	0	0	0.4
110519	大招	2	5.15	0	Attack51	100091	110556		10	2		2	0	0	
110520	胜利1	8	100	0	Win				10	2		2	0	0	
110521	胜利2	8	100	0	Win				10	2		2	0	0	
110522	出生技能	4	3.8	0	Born				10	2		2	0	0	
110523	交互动作	9	0	100	Save				10	2		2	0	0	
110524	出场技	3	1	1.9	Attack31	110538	110539		10	2		2	0	0	
110525	普攻1（突进）	1	0.55	1.25	Attack01	110540			10	2		2	0	2	
110526	合枪	40	999	0	Attack40	110541|110544			10	2		2	0	0	
110527	第一段蓄力	41	999	0	Attack41	110542|110516|110538	110508		10	2		2	0	4	
110528	第二段蓄力	42	999	0	Attack42	110543|110517|110538	110508		10	2		2	0	4	
110529	电磁炮	44	0.4	1.9	Attack44	110573|110569	110539		10	2		2	0	4	
110530	超电磁炮	45	0.4	2	Attack45	110573|110569			110539	2		2	0	4	
110531	红球3消EX	13	0.75	1.1	Attack11				10	2		2	0	0	
110532	蓝球3消EX	23	1.25	1.5	Attack21				10	2		2	0	0	
110533	黄球3消EX	33	1	1.8	Attack31	110538	110539		10	2		1	0	5	
110534	超电磁炮EX	46	0.4	2	Attack46	110573|110569|110575	110539		10	2		2	0	4	
110535	出场技EX	3	1	1.9	Attack31	110538	110539		10	2		1	0	5	
