Id	Name	SkillType	CastTime	AfterTime	Animation	FinalMagicIds	Cd	DistNoTarget	SkillMoveType	DistAbort	SkillMoveTrackDistance	MissileLockTarget	SkillFaceType	DodgeLimitTime
994101	蓄力激光		6.267	0	Stand1			10	0				4	
994102	光柱		4	0	Stand1			10	0				4	
994103	环形		4	0	Stand1			10	0				4	
994104	蓄力激光		6.267	0				10	0				4	
994105	环形攻击		4	0				10	0				4	
994106	倒地动作		999	0	Death			10	0				0	
994107	列车电网用收起		999	0	Attack01			10	0				0	
994108	列车电网用持续		999	0	Attack02			10	0				0	
994109	列车电网用展开		2.75	0	Attack03			10	0				0	
994110	溜めレーザー		6.267	0	Attack01			10	0				4	
994201	普攻1		0.4	0.833	Attack01			10	5				0	
994202	普攻2		0.233	0.537	Attack02			10	5				0	
994203	普攻3		2.533	1.967	Attack04			10	5				0	
994204	闪避1		1.166	1.167	Move1			10	1				0	
994205	闪避2		1.433	0.734	Move1			10	1				0	
994206	起身瞄准		2.2	0	Standup			10	4				0	
994207	受击		0.666	0.9	Hit1			10	0				0	
994208	受击2		0.666	0.9	Hit2			10	2				0	
994501	回避		1.166	1.167	Move1			10	7				4	
994502	障害物に衝突後に跳ね返る		0.15	0.05				10	1				0	
994503	障害物に衝突後に跳ね返る		0.15	0.05				10	1				0	
994504	左折		999	0	Runl			10	7				0	
994505	右折		999	0	Runr			10	7				0	
994506	摆正		999	0	Run			10	7				0	
994507	左漂移1		0.333	0	Attack01			10	7				0	
994508	左漂移2		999	0	Attack02			10	7				0	
994509	左漂移3		0.333	0	Attack03			10	7				0	
994510	右漂移1		0.333	0	Attack04			10	7				0	
994511	右漂移2		999	0	Attack05			10	7				0	
994512	右漂移3		0.333	0	Attack06			10	7				0	
994513	胜利动作1		2.367	0	Attack07			10	1				0	
994514	胜利动作2		2.933	0	Attack08			10	1				0	
994515	受击		0.4	0.3	Hit1			10	7				0	
994516	受击2		0.3	0	Attack10			10	7				0	
904001	野牛烈焰撞击		5.7	0	Attack01			10	4				0	
904002	野牛炎刃横扫		2	0	Attack02			10	2				0	
904003	野牛后踢		1.6	0	Attack03			10	2				0	
904004	野牛雪狐击		2.6	0	Attack04			10	2				0	
904005	野牛炎爆		2.1	0	Attack05			10	2				0	
904006	野牛燃烧吧牛宝宝		2.35	0	Attack06			10	2				0	
904007	卧牛前摇		1	0	Attack07			10	2				0	
904008	卧牛中		0.25	0	Attack08			10	2				0	
904009	卧牛结束		1.5	0	Attack09			10	2				0	
904010	锤断腿前摇		1.45	0	Attack11			10	2				0	
904011	锤断腿中		0.25	0	Attack12			10	2				0	
904012	锤断腿结束		1.5	0	Attack13			10	2				0	
904013	野牛转向		0.8	0	Attack17			10	0				4	
904501	战斧斜劈		2.3	0	Attack01			10	0				4	
904502	战斧上挑		2.2	0	Attack02			10	0				4	
904503	链钩发射		1.867	0	Attack03			10	0				4	
904504	链钩回拽		1.267	0	Attack04			10	0				0	
904505	喷射准备		0.8	0	Attack05			10	0				0	
904506	喷射冲锋		3	0	Attack06	904529|730019|904536		10	6				4	
904507	喷射冲锋刹车结束		1.733	0	Attack07	700031		10	0				0	
904508	喷射冲锋撞墙		3.133	0	Attack08	700031		10	0				0	
