Id	Name	SkillType	CastTime	AfterTime	Animation	CastMagicIds	FinalMagicIds	Cd	DistNoTarget	SkillMoveType	DistAbort	SkillMoveTrackDistance	MissileLockTarget	SkillFaceType	DodgeLimitTime
123201	普攻1	1	0.5	2.3	Attack01				10	2		2	0	0	
123202	普攻2	1	0.5	1.8	Attack02				10	2		2	0	0	
123203	普攻3	1	0.75	2	Attack03		103262		10	2		2	0	0	
123204	普攻4	1	1.25	1.95	Attack04				10	2		2	0	0	
123205	普攻5	1	0.9	2.8	Attack05		103262		10	2		2	0	0	
123206	红球1消	11	1.1	1.6	Attack11		103262		10	2		2	0	0	
123207	红球2消	12	1.1	1.6	Attack11		103262		10	2		2	0	0	
123208	红球3消	13	1.1	1.6	Attack11		103262		10	2		2	0	0	
123209	蓝球1消	21	1	2.2	Attack21		103262		10	2		2	0	0	
123210	蓝球2消	22	1	2.2	Attack21		103262		10	2		2	0	0	
123211	蓝球3消	23	1	2.2	Attack21		103262		10	2		2	0	0	
123212	黄球1消	31	0.7	2.7	Attack31	103223	103262|103265		10	2		0	0	5	
123213	黄球2消	32	0.7	2.7	Attack31	103223	103262|103265		10	2		0	0	5	
123214	黄球3消	33	0.7	2.7	Attack31	103223	103262|103265		10	2		0	0	5	
123215	QTE技能	7	1.95	0	AttackQte				10	2		2	0	0	
123216	闪避	5	0.35	1.85	Move1		103262		10	2		2	0	0	0.4
123217	默认向后闪避	6	0.35	1.6	Move2		103262		10	2		2	0	0	0.4
123218	大招	2	0.4	5.55	Attack51				10	2		2	0	0	
123219	胜利1	8	100	1					10	2		2	0	0	
123220	胜利2	8	100	1					10	2		2	0	0	
123221	出生技能	4	0	1	Born				10	2		2	0	0	
123222	交互动作	9	1	1	Save				10	2		2	0	0	
123223	出场技	3	1.25	1.95	Attack21		103262		10	2		2	0	0	
123224	普攻1（突进）	1	0.5	2.3	Attack01				10	2		0	0	1	
123225	潜行开启主动技能	41	9999	0	Save				10	2		2	0	0	
123226	潜行关闭主动技能	41	0.5	0	Save				10	2		2	0	0	
123227	潜行刺杀1		1.9	0.6	Attack10				10	2		2	0	0	
123228	潜行刺杀2		1.9	0.6	Attack10				10	2		2	0	0	
123251	普攻1（冰）	1	0.6	2.3	Attack01		103284		10	2		2	0	0	
123252	普攻2（冰）	1	0.85	1.75	Attack02		103284		10	2		2	0	0	
123253	普攻3（冰）	1	0.55	2	Attack03		103284		10	2		2	0	0	
123254	普攻4（冰）	1	0.75	2.25	Attack04		103284		10	2		2	0	0	
123255	普攻5（冰）	1	1.05	1.9	Attack05		103284		10	2		2	0	0	
123256	红球1消（冰）	11	1.1	2.1	Attack11				10	2		2	0	0	
123257	红球2消（冰）	12	1.1	2.1	Attack11				10	2		2	0	0	
123258	红球3消（冰）	13	1.1	2.1	Attack11				10	2		2	0	0	
123259	蓝球1消（冰）	21	1.2	1.8	Attack21				10	2		2	0	0	
123260	蓝球2消（冰）	22	1.2	1.8	Attack21				10	2		2	0	0	
123261	蓝球3消（冰）	23	1.2	1.8	Attack21				10	2		2	0	0	
123262	黄球1消（冰）	31	1.1	1.7	Attack31				10	2		0	0	1	
123263	黄球2消（冰）	32	1.1	1.7	Attack31				10	2		0	0	1	
123264	黄球3消（冰）	33	1.1	1.7	Attack31				10	2		0	0	1	
123265	闪避（冰）	5	0.45	1.5	Move1				10	2		2	0	0	0.45
123266	默认向后闪避（冰）	6	0.45	1.9	Move2				10	2		2	0	0	0.45
123267	大招（冰）	2	1.1	4.85	Attack51				10	2		2	0	0	
123268	出场技（冰）	3	1.25	1.95	Attack21				10	2		2	0	0	
123269	普攻1（突进）（冰）	1	0.6	2.3	Attack01		103284		10	2		0	0	1	
