Id	Type	Time	HoverTime	ImmuneHitTime	Speed	MoveTime	HitFlyHeight1	HitFlyHeight2	HitFlyTime1	HitFlyTime2	HitFlyTime3	OriginType	ImmuneHitValue	Acceleration
103201011	2	1	0.3									1	0	
103202011	5	1	0.3									1		
103203011	5	1	0.3		6	0.1						1		-60
103204011	2	1	0.3									1	0	
103204021	1	1	0.3									1	0	
103204031	2	1	0.3									1	0	
103204041	1	1	0.3									1	0	
103205011	6	1	0.3									1		
103205021	6	1	0.3		10	0.15						1		-60
103206011	2	1	0.3									1	0	
103206021	1	1	0.3									1	0	
103206031	2	1	0.3									1	0	
103206041	5	1	0.3		10	0.15						1		-60
103207011	2	1	0.3									1	0	
103207021	1	1	0.3									1	0	
103207031	2	1	0.3									1	0	
103207041	5	1	0.3		10	0.15						1		-60
103208011	2	1	0.3									1	0	
103208021	1	1	0.3									1	0	
103208031	2	1	0.3									1	0	
103208041	5	1	0.3		10	0.15						1		-60
103208111	2	1	0.3									1	0	
103208121	1	1	0.3									1	0	
103208131	2	1	0.3									1	0	
103208141	1	1	0.3									1	0	
103209011	1	1	0.3		1.5	0.1						1	0	
103209021	4	1	0.3	2	12	0.2						1	3	-50
103210011	1	1	0.3		1.5	0.1						1	0	
103210021	4	1	0.3	2	12	0.2						1	3	-50
103211011	1	1	0.3		1.5	0.1						1	0	
103211021	4	1	0.3	2	12	0.2						1	3	-50
103212011	2	1	0.3									1	0	
103212021	3	1	0.3		5	1	1.2	0.1	0.2	0.6	0.2	1	3	-5
103213011	2	1	0.3									1	0	
103213021	3	1	0.3		5	1	1.2	0.1	0.2	0.6	0.2	1	3	-5
103214011	2	1	0.3									1	0	
103214021	3	1	0.3		5	1	1.2	0.1	0.2	0.6	0.2	1	3	-5
103215021	1	1	0.3									1	0	
103215031	1	1	0.3									1	0	
103215041	1	1	0.3									1	0	
103215051	1	1	0.3									1	0	
103223011	1	1	0.3		1.5	0.1						1	0	
103223021	4	1	0.3	2	12	0.2						1	3	-50
103224011	2	1	0.3									1	0	
103225011	5	1	0.3		6	0.1						1		-60
103251011	2	1	0.3									1	0	
103252011	1	1	0.3									1	0	
103252021	2	1	0.3									1	0	
103253011	1	1	0.3									1	0	
103254021	1	1	0.3									1	0	
103254031	1	1	0.3									1	0	
103255011	5	1	0.3		5	0.1						1		-30
103255021	6	1	0.3									1		
103255031	5	1	0.3									1		
103256011	1	1	0.3									1	0	
103256021	6	1	0.3									1		10
103257011	1	1	0.3									1	0	
103257021	6	1	0.3									1		10
103258011	1	1	0.3									1	0	
103258021	6	1	0.3									1		10
103259041	1	1	0.3		5	0.05						1	0	
103259051	2	1	0.3		5	0.05						1	0	
103259061	1	1	0.3		5	0.05						1	0	
103259071	2	1	0.3		5	0.05						1	0	
103259081	1	1	0.3		5	0.05						1	0	
103259091	1	1	0.3									1	0	
103260041	1	1	0.3		5	0.05						1	0	
103260051	2	1	0.3		5	0.05						1	0	
103260061	1	1	0.3		5	0.05						1	0	
103260071	2	1	0.3		5	0.05						1	0	
103260081	1	1	0.3		5	0.05						1	0	
103260091	1	1	0.3									1	0	
103261041	1	1	0.3		5	0.05						1	0	
103261051	2	1	0.3		5	0.05						1	0	
103261061	1	1	0.3		5	0.05						1	0	
103261071	2	1	0.3		5	0.05						1	0	
103261081	1	1	0.3		5	0.05						1	0	
103261091	1	1	0.3									1	0	
103262011	1	1	0.3									1	0	
103262021	6	1	0.3									1		
103263011	1	1	0.3									1	0	
103263021	6	1	0.3									1		
103264011	1	1	0.3									1	0	
103264021	6	1	0.3									1		
103267051	2	1	0.3									1	0	
103268041	1	1	0.3		5	0.05						1	0	
103268051	2	1	0.3		5	0.05						1	0	
103268061	1	1	0.3		5	0.05						1	0	
103268071	2	1	0.3		5	0.05						1	0	
103268081	1	1	0.3		5	0.05						1	0	
103268091	1	1	0.3									1	0	
103269011	1	1	0.3									1	0	
103270041	2	1	0.3									1	0	
103271041	2	1	0.3									1	0	
103272041	2	1	0.3									1	0	
103276021	1	1	0.3									1	0	
103276031	1	1	0.3									1	0	
103276041	1	1	0.3									1	0	
103276051	1	1	0.3									1	0	
103277011	1	1	0.3									1	0	
