Id	Type	Time	HoverTime	ImmuneHitTime	Speed	MoveTime	OriginType	ImmuneHitValue	Acceleration	HitFlyMoveSpeed	HitFlyMoveAcceleration	HitFlyUpSpeed	HitFlyDownSpeed
113201011	2	1	0				1	0		2	-2.7	0.6	0
113202011	5	1	0.17				1			3.7	-4	3.5	0
113203011	5	1	0		6	0.1	1		-60	10	-10	4	0
113204011	2	1	0.2				1	0		2	-2.7	0.8	0
113204021	1	1	0.2				1	0		2	-2.7	0.8	0
113204031	2	1	0				1	0		2	-2.7	1.3	0
113204041	1	1	0				1	0		4	-6	2.5	0
113205011	6	1	0.1				1			4	-6	2.5	0
113205021	6	1	0.05		10	0.15	1		-60	15	-28	0.2	0
113206011	2	1	0				1	0		2	-2.7	0.2	0
113206021	1	1	0.1				1	0		2	-2.7	0.2	0
113206031	2	1	0				1	0		2	-2.7	0.8	0
113206041	5	1	0		10	0.15	1		-60	3.7	-5	5.5	1
113207011	2	1	0				1	0		2	-2.7	0.2	0
113207021	1	1	0.1				1	0		2	-2.7	0.2	0
113207031	2	1	0				1	0		2	-2.7	0.8	0
113207041	5	1	0		10	0.15	1		-60	3.7	-5	5.5	1
113208011	2	1	0.5				1	0		2	-2.7	1	0
113208021	1	1	0.5				1	0		2	-2.7	1	0
113208031	2	1	0				1	0		2	-2.7	0.8	0
113208041	5	1	0		10	0.15	1		-60	3.7	-5	5.5	1
113208111	2	1	0				1	0		2	-2.7	0	0
113208121	1	1	0				1	0		2	-2.7	0	2
113208131	2	1	0				1	0		1.5	-2	3	0
113208141	1	1	0.02				1	0		2	-2.7	0.1	0
113209011	1	1	0		1.5	0.1	1	0		1.5	-2	0.1	0
113209021	4	1	0	2	12	0.2	1	3	-50	12	-50	0	50
113210011	1	1	0		1.5	0.1	1	0		1.5	-2	0.1	0
113210021	4	1	0	2	12	0.2	1	3	-50	12	-50	0	50
113211011	1	1	0		1.5	0.1	1	0		1.5	-2	0.1	0
113211021	4	1	0	2	12	0.2	1	3	-50	12	-50	0	50
113212011	2	1	0				1	0		2	-2.7	2	0
113212021	3	1	0		5	1	1	3	-5	3.7	-2.4	5.5	1
113213011	2	1	0				1	0		2	-2.7	2	0
113213021	3	1	0		5	1	1	3	-5	3.7	-2.4	5.5	1
113214011	2	1	0				1	0		2	-2.7	2	0
113214021	3	1	0		5	1	1	3	-5	3.7	-2.4	5.5	1
113224011	2	1	0				1	0		2	-2.7	0.6	0
