Id	Type	Time	HoverTime	ImmuneHitTime	Speed	MoveTime	HitFlyHeight1	HitFlyHeight2	HitFlyTime1	HitFlyTime2	HitFlyTime3	OriginType	ImmuneHitValue	Acceleration
110101011	2	1	0.3									0	0	
110102011	1	1	0.3									0	0	
110102021	2	1	0.3									0	0	
110103011	1	1	0.3									0	0	
110103021	2	1	0.3									0	0	
110104011	1	1	0.3									0	0	
110104021	2	1	0.3									0	0	
110104031	1	1	0.3									0	0	
110105011	1	1	0.3									0	0	
110105021	2	1	0.3									1	0	
110105031	1	1	0.3									1	0	
110105041	2	1	0.3									1	0	
110106011	5	1	0.3									0		
110106021	6	1	0.3									0		
110107011	1	1	0.3									0	0	
110107021	2	1	0.3									0	0	
110107031	1	1	0.3									0	0	
110107041	2	1	0.3									0	0	
110107051	1	1	0.3									0	0	
110107061	2	1	0.3									0	0	
110107071	1	1	0.3									0	0	
110107081	2	1	0.3									0	0	
110107091	1	1	0.3									0	0	
110107101	2	1	0.3									0	0	
110107111	1	1	0.3									0	0	
110107121	2	1	0.3									0	0	
110107131	1	1	0.3									0	0	
110107141	2	1	0.3									0	0	
110107151	1	1	0.3									0	0	
110107161	2	1	0.3									0	0	
110107171	1	1	0.3									0	0	
110107181	2	1	0.3									0	0	
110107191	1	1	0.3									0	0	
110107201	2	1	0.3									0	0	
110108011	1	1	0.3									0	0	
110108021	2	1	0.3									0	0	
110108031	1	1	0.3									0	0	
110108041	2	1	0.3									0	0	
110108051	1	1	0.3									0	0	
110108061	2	1	0.3									0	0	
110108071	1	1	0.3									0	0	
110108081	2	1	0.3									0	0	
110108091	1	1	0.3									0	0	
110108101	2	1	0.3									0	0	
110108111	1	1	0.3									0	0	
110108121	2	1	0.3									0	0	
110108131	1	1	0.3									0	0	
110108141	2	1	0.3									0	0	
110108151	1	1	0.3									0	0	
110108161	2	1	0.3									0	0	
110108171	1	1	0.3									0	0	
110108181	2	1	0.3									0	0	
110108191	1	1	0.3									0	0	
110108201	2	1	0.3									0	0	
110109011	1	1	0.3									0	0	
110109021	2	1	0.3									0	0	
110109031	1	1	0.3									0	0	
110109041	2	1	0.3									0	0	
110109051	1	1	0.3									0	0	
110109061	2	1	0.3									0	0	
110109071	1	1	0.3									0	0	
