Id	Type	Time	HoverTime	ImmuneHitTime	Speed	MoveTime	OriginType	ImmuneHitValue	Acceleration	HitFlyMoveSpeed	HitFlyMoveAcceleration	HitFlyUpSpeed	HitFlyDownSpeed
998101011	2	0.8	0.2				0	0		1.5	-2	3	0
998102011	2	0.8	0.2				0	0		1.5	-2	3	0
998102021	2	0.8	0.2				0	0		1.5	-2	3	0
998103011	2	0.8	0.2				0	0		1.5	-2	3	0
998104011	2	0.8	0.2				0	0		1.5	-2	3	0
998201011	2	0.8	0.2				0	0		1.5	-2	3	0
998202011	2	0.8	0.2				0	0		1.5	-2	3	0
998202021	2	0.8	0.2				0	0		1.5	-2	3	0
998203011	2	0.8	0.2				0	0		1.5	-2	3	0
998203021	2	0.8	0.2				0	0		1.5	-2	3	0
998203031	2	0.8	0.2				0	0		1.5	-2	3	0
998204011	2	0.8	0.2				0	0		1.5	-2	3	0
998301011	1	0.3	0.2		8	0.05	1	0		1.5	-2	3	0
998302011	1	0.3	0		8	0.05	1	0		1.5	-2	3	0
998302031	1	0.3	0				1	0		1.5	-2	3	0
815201011	1	0.3	0.2		8	0.05	1	0		1.5	-2	3	0
815201061	1	0.3	0.2		8	0.05	1	0		1.5	-2	3	0
815201081	1	0.3	0.2		8	0.05	1	0		1.5	-2	3	0
815202011	1	0.3	0.2		8	0.05	1	0		1.5	-2	3	0
815204011	3	0.5	0		10	0.45		1	-10	1.5	-2	3	0
815205031	2	0.8	0					0		1.5	-2	3	0
815207011	3	0.6	0		20	0.5	1	1	-30	1.5	-2	3	0
815213031	3	0.8	0		20	0.5	1	1	-30	1.5	-2	3	0
834000021	5	0.3	0							1.5	-2	3	0
834000031	5	0.3	0							1.5	-2	3	0
834000041	5	0.5	0							1.5	-2	3	0
834001021	4	0.8	0.2	2	20	0.5	1	3	-30				
834001171	4	0.3	0.2	2	8	0.05	1	3					
834002021	4	0.8	0.2	2	20	0.5	1	3	-30				
834002161	4	0.3	0.2	2	8	0.05	1	3					
834003021	4	0.8	0.2	2	20	0.5	1	3	-30				
834003171	4	0.3	0.2	2	8	0.05	1	3					
834005021	5	0.3	0.2				1			1.5	-2	3	0
834005051	5	0.3	0.2				1			1.5	-2	3	0
834005201	5	0.3	0.2				1			1.5	-2	3	0
834005231	5	0.3	0.2				1			1.5	-2	3	0
834005381	5	0.3	0.2				1			1.5	-2	3	0
834009011	4	0.8	0.2	2	20	0.5	1	3	-30				
834010011	4	0.8	0.2	2	20	0.5	1	3	-30				
834011021	4	0.3	0.2	2	8	0.05	1	3					
834015021	4	0.8	0.2	2	20	0.5	1	3	-30				
834016021	4	0.8	0.2	2	20	0.5	1	3	-30				
834031011	4	0.3	0.2	2	8	0.05	1	3					
834201021	5	0.8	0.2				1			1.5	-2	3	0
834201051	5	0.8	0.2				1			1.5	-2	3	0
834201081	5	0.8	0.2				1			1.5	-2	3	0
834301021	5	0.3	0.2				1			1.5	-2	3	0
834301051	5	0.3	0.2				1			1.5	-2	3	0
834301081	5	0.3	0.2				1			1.5	-2	3	0
834401021	5	0.3	0.2				1			1.5	-2	3	0
834401051	5	0.3	0.2				1			1.5	-2	3	0
906601021	1	0.5	0				1	0		1.5	-2	3	0
906601031	6	1	0				1			1.5	-2	3	0
906601051	3	0.8	0.2		20	0.8	1	1	-15	1.5	-2	3	0
906602011	4	0.4	0.2	2	20	0.3	1	3	-20				
906602031	3	0.6	0.2		20	0.8	1	1	-20	1.5	-2	3	0
906602061	1	0.3	0.3				1	0		1.5	-2	3	0
906603041	4	0.5	0.3	2	30	0.3	1	3	-50				
906606011	1	0.3	0.3				1	0		1.5	-2	3	0
906606021	3	0.5	0.3		20	0	1	1	0	1.5	-2	3	0
906606031	3	0.4	0.3		20	0.3	1	1	-20	1.5	-2	3	0
906607011	3	0.8	0.3		20	0	1	1	0	1.5	-2	3	0
906607021	3	1	0.3		20	0.5	1	1	-20	1.5	-2	3	0
906608041	4	0.5	0.3	2	30	0.3	1	3	-50				
906611011	3	0.8	0.2				1	1		1.5	-2	3	0
906611031	3	0.8	0.3		20	0.5	1	1	-20	1.5	-2	3	0
906901031	1	0.8	0.3				1	0		1.5	-2	3	0
906901041	1	0.6	0.2				1	0		1.5	-2	3	0
906901051	1	0.6	0.2				1	0		1.5	-2	3	0
906901061	1	0.6	0.2				1	0		1.5	-2	3	0
906901071	1	0.6	0.2				1	0		1.5	-2	3	0
906901081	1	0.6	0.2				1	0		1.5	-2	3	0
906901091	1	0.6	0.2				1	0		1.5	-2	3	0
906901101	3	0.8	0.2		20	0.8	1	1	-30	1.5	-2	3	0
906901131	1	0.6	0.2				1	0		1.5	-2	3	0
906902011	4	1	0.3	2	10	0.5	1	3	-20				
906906021	3	0.8	0		15	0.6	1	1	-20	1.5	-2	3	0
906907011	1	0.3	0.3				1	0		1.5	-2	3	0
906907021	3	0.5	0.2		20	0.5	1	1	-20	1.5	-2	3	0
906907031	1	0.3	0.3				1	0		1.5	-2	3	0
906908011	1	0.5	0				1	0		1.5	-2	3	0
906909021	4	0.8	0.2	2	20	1	1	3	-20				
906917011	1	0.6	0.3				1	0		1.5	-2	3	0
906918021	3	0.5	0.3		20	0.1	1	1	-20	1.5	-2	3	0
906919021	1	0.6	0.3				1	0		1.5	-2	3	0
906919061	3	0.8	0.3		10	0.5	1	1	-20	1.5	-2	3	0
906921021	1	0.6	0.2				1	0		1.5	-2	3	0
906921031	2	1	0.3				1	0		1.5	-2	3	0
906921041	3	0.8	0.3		20	0.8	1	1	-20	1.5	-2	3	0
837002051	5	0.8	0		40	0.2	1		-40	1.5	-2	3	0
837003041	5	0.8	0		40	0.2	1		-40	1.5	-2	3	0
837004021	3	0.8	0.1		20	0.8	1	1	-20	12	-10	5	10
837005031	3	0.8	0.1		20	0.8	1	1	-20	12	-10	5	10
837008021	3	0.8	0.1		50	0.8	1	1	50	12	-10	5	10
837010021	6	0.8	0.1		40	0.8	1		-40	1.5	-2	3	0
837010051	1	0.3	0			0.3	1	0		1.5	-2	3	0
