Id	Type	Time	HoverTime	ImmuneHitTime	Speed	MoveTime	OriginType	ImmuneHitValue	Acceleration	HitFlyMoveSpeed	HitFlyMoveAcceleration	HitFlyUpSpeed	HitFlyDownSpeed
101401021	1	1	0				0	0		2	-2.7	2.6	0
101401081	1	1	0				1	0		1.5	-2	3	0
101402031	2	1	0				0	0		2	-2.7	2.8	0
101403011	1	1	0				0	0		2	-2.7	2	0
101403021	2	1	0				0	0		2	-2.7	2	0
101403031	1	1	0				0	0		2	-2.7	2	0
101403041	2	1	0				0	0		2	-2.7	2	0
101403051	1	1	0.2				0	0		2	-2.7	2.8	2
101404021	5	1	0.1				0			10	-20	0.5	2
101406021	4	1	0.05	2	10	0.2	1	3	-6	15	-40	0.2	2
101407021	4	1	0.05	2	10	0.2	1	3	-6	15	-40	0.2	2
101408021	4	1	0.05	2	10	0.2	1	3	-6	15	-40	0.2	2
101409051	1	1	0		20	0.25	1	0	-80	10	-30	2.3	0
101409061	1	1	0				1	0		1.5	-2	3	0
101409071	1	1	0				1	0		1.5	-2	3	0
101409081	1	1	0				1	0		1.5	-2	3	0
101409091	2	1	0				1	0		1.5	-2	3	0
101409101	2	1	0				1	0		1.5	-2	3	0
101409111	2	1	0				1	0		1.5	-2	3	0
101409241	1	1	0				1	0		1.5	-2	3	0
101409251	1	1	0				1	0		1.5	-2	3	0
101409261	2	1	0				1	0		1.5	-2	3	0
101409271	1	1	0				1	0		1.5	-2	3	0
101409281	2	1	0				1	0		1.5	-2	3	0
101409291	2	1	0				1	0		1.5	-2	3	0
101409301	1	1	0				1	0		1.5	-2	3	0
101409311	1	1	0				1	0		1.5	-2	3	0
101409321	2	1	0				1	0		1.5	-2	3	0
101409331	1	1	0				1	0		1.5	-2	3	0
101409341	2	1	0				1	0		1.5	-2	3	0
101409351	2	1	0				1	0		1.5	-2	3	0
101410051	1	1	0		20	0.25	1	0	-80	10	-30	2.3	0
101410061	1	1	0				1	0		1.5	-2	3	0
101410071	1	1	0				1	0		1.5	-2	3	0
101410081	2	1	0				1	0		1.5	-2	3	0
101410091	1	1	0				1	0		1.5	-2	3	0
101410101	2	1	0				1	0		1.5	-2	3	0
101410111	2	1	0				1	0		1.5	-2	3	0
101410121	1	1	0				1	0		1.5	-2	3	0
101410131	1	1	0				1	0		1.5	-2	3	0
101410141	2	1	0				1	0		1.5	-2	3	0
101410151	1	1	0				1	0		1.5	-2	3	0
101410161	2	1	0				1	0		1.5	-2	3	0
101410171	2	1	0				1	0		1.5	-2	3	0
101410181	1	1	0				1	0		1.5	-2	3	0
101410191	1	1	0				1	0		1.5	-2	3	0
101410201	2	1	0				1	0		1.5	-2	3	0
101410211	1	1	0				1	0		1.5	-2	3	0
101410221	2	1	0				1	0		1.5	-2	3	0
101410231	2	1	0				1	0		1.5	-2	3	0
101411051	1	1	0		20	0.25	1	0	-80	10	-30	2.3	0
101411061	1	1	0				1	0		1.5	-2	3	0
101411071	1	1	0				1	0		1.5	-2	3	0
101411081	2	1	0				1	0		1.5	-2	3	0
101411091	1	1	0				1	0		1.5	-2	3	0
101411101	2	1	0				1	0		1.5	-2	3	0
101411111	2	1	0				1	0		1.5	-2	3	0
101411121	1	1	0				1	0		1.5	-2	3	0
101411131	1	1	0				1	0		1.5	-2	3	0
101411141	2	1	0				1	0		1.5	-2	3	0
101411151	1	1	0				1	0		1.5	-2	3	0
101411161	2	1	0				1	0		1.5	-2	3	0
101411171	2	1	0				1	0		1.5	-2	3	0
101411181	1	1	0				1	0		1.5	-2	3	0
101411191	1	1	0				1	0		1.5	-2	3	0
101411201	2	1	0				1	0		1.5	-2	3	0
101411211	1	1	0				1	0		1.5	-2	3	0
101411221	2	1	0				1	0		1.5	-2	3	0
101411231	2	1	0				1	0		1.5	-2	3	0
101412011	2	1	0				1	0		1.5	-2	3	0
101412021	1	1	0				1	0		1.5	-2	3	0
101413011	2	1	0				1	0		1.5	-2	3	0
101413021	1	1	0				1	0		1.5	-2	3	0
101414011	2	1	0				1	0		1.5	-2	3	0
101414021	1	1	0				1	0		1.5	-2	3	0
101415041	1	1	0				1	0		2	-2.7	1.8	1
101415051	1	1	0				1	0		2	-2.7	1.8	1
101415061	1	1	0				1	0		2	-2.7	1.8	1
101415071	1	1	0				1	0		2	-2.7	3	2
101418031	2	1	0				1	0		1	-5	0	30
101418041	3	1	0				1	3		1	-5	3	0
101418051	1	1	0				1	0		1	-5	0	30
101418061	2	1	0				1	0		1	-5	0	30
101418071	2	1	0				1	0		1	-5	0	30
101418081	1	1	0				1	0		1	-5	0	30
101418091	1	1	0				1	0		1	-5	0	30
101418101	2	1	0				1	0		1	-5	0	30
101418111	1	1	0				1	0		1	-5	0	30
101422021	4	1	0.05	2	10	0.2	1	3	-5	20	-60	0.2	2
101423021	4	1	0.05	2	10	0.2	1	3	-5	20	-60	0.2	2
101425021	4	1	0.05	2	15	0.25	1	3	-6	20	-60	0.2	2
101428021	4	1	0.05	2	10	0.2	1	3	-5	20	-60	0.2	2
110201011	2	1	0		4	0.2	1	0	0	2	-2.7	2.2	1
110202011	1	1	0		3	0.2	1	0	0	2	-2.7	2.2	1
110202021	5	1	0		4	0.1	1		0	2	-2.7	2.2	1
110203011	2	1	0.2				1	0		0	-1	4	2
110203041	1	1	0				1	0		2	-2.7	2.2	1
110203051	5	1	0				1			2	-2.7	2.2	1
110204011	1	1	0		1.1	0.2	1	0	0	2	-2.7	2.2	1
110204021	2	1	0		1.1	0.2	1	0	0	2	-2.7	2.2	1
110204031	1	1	0		1.1	0.2	1	0	0	2	-2.7	2.2	1
110204041	2	1	0		1.1	0.2	1	0	0	2	-2.7	2.2	1
110204051	6	1.3	0		10	0.15	1		-50	4	-5	2.2	0
110205011	1	1	0		0.5	0.2	1	0	0	2	-10	2	0
110205021	2	1	0				1	0		2	-10	2	0
110205031	1	1	0		0.5	0.2	1	0	0	2	-10	2	0
110206011	1	1	0		0.5	0.2	1	0	0	2	-10	2	0
110206021	2	1	0				1	0		2	-10	2	0
110206031	1	1	0		0.5	0.2	1	0	0	2	-10	2	0
110207011	1	1	0		0.3	0.2	1	0	0	2	-10	2	0
110207021	2	1	0				1	0		2	-10	2	0
110207031	1	1	0		0.3	0.2	1	0	0	2	-10	2	0
110208011	1	1	0				1	0		1.5	-2	3	0
110209011	1	1	0				1	0		1.5	-2	3	0
110210011	1	1	0				1	0		1.5	-2	3	0
110211011	2	1	0				1	0		2	-10	2	0
110211021	1	1	0				1	0		2	-10	2	0
110211031	6	1	0		5	0.15	1		-25	2	-10	2	0
110211081	2	1	0		18	0.2	1	0	0	2	-10	2	0
110211091	2	1	0		18	0.2	1	0	0	2	-10	2	0
110211101	1	1	0		3	0.1	1	0	0	5	-10	4	1
110212011	2	1	0				1	0		2	-10	2	0
110212021	1	1	0				1	0		2	-10	2	0
110212031	6	1	0		5	0.15	1		-25	2	-10	2	0
110212081	2	1	0		18	0.2	1	0	0	2	-10	2	0
110212091	2	1	0		18	0.2	1	0	0	2	-10	2	0
110212101	1	1	0		3	0.1	1	0	0	5	-10	4	1
110213011	2	1	0				1	0		2	-10	2	0
110213021	1	1	0				1	0		2	-10	2	0
110213031	6	1	0		5	0.15	1		-25	2	-10	2	0
110213081	2	1	0		9	0.1	1	0	0	2	-10	2	0
110213091	2	1	0		9	0.1	1	0	0	2	-10	2	0
110213101	1	1	0		9	0.1	1	0	0	5	-10	4	1
110214011	6	1	0		3	0.1	1		-1	1.5	-2	3	0
