Id	Type	Time	HoverTime	ImmuneHitTime	Speed	MoveTime	OriginType	ImmuneHitValue	Acceleration	HitFlyMoveSpeed	HitFlyMoveAcceleration	HitFlyUpSpeed	HitFlyDownSpeed
907001011	1	0.4	0		0	0	0	0	0	1.5	-2	3	0
907001021	5	1.2	0		0	0	0		0	1.5	-2	3	0
907002011	1	0.4	0		0.8	0.4	0	0	1	1.5	-2	3	0
907005011	3	0.8	0				0	1		18	-18	6	0
907006011	5	1	0		1	1	0		1	1.5	-2	3	0
907006021	1	0.4	0		5	0.4	0	0	0.1	1.5	-2	3	0
907007011	5	1	0		1	1	0		1	1.5	-2	3	0
907008011	3	0.8	0				0	1		18	-18	6	0
907009011	1	0.4	0		0	0	0	0	0	1.5	-2	3	0
907010011	1	0.4	0		0	0	0	0	0	1.5	-2	3	0
907011011	1	0.4	0		0.8	0.4	0	0	1	1.5	-2	3	0
907011021	5	1.2	0		0	0	0		0	1.5	-2	3	0
907012011	1	0.2	0		0.8	0.2	0	0	1	1.5	-2	3	0
907012021	1	0.2	0		0.8	0.2	0	0	1	1.5	-2	3	0
907012031	1	0.2	0		0.8	0.2	0	0	1	1.5	-2	3	0
907012041	1	0.2	0		0.8	0.2	0	0	1	1.5	-2	3	0
907012051	1	0.4	0		0.8	0.4	0	0	1	1.5	-2	3	0
907012061	1	0.4	0		0.8	0.4	0	0	1	1.5	-2	3	0
907014011	1	0.4	0		0.8	0.4	0	0	1	1.5	-2	3	0
907015011	1	0.4	0		0.8	0.4	0	0	1	1.5	-2	3	0
907016011	1	0.4	0		0.8	0.4	0	0	1	1.5	-2	3	0
