Id	Type	Param[1]	Param[2]	Param[3]	ConsumeId[1]	ConsumeNum[1]	ConsumeId[2]	ConsumeNum[2]
1001	2	773000			60300	120		
1002	2	773006			60300	120		
1003	2	773012			60300	120		
1004	2	773117			60300	120		
1005	2	773129			60300	120		
1006	2	773135			60300	120		
1007	2	773181			60300	120		
1008	2	7007			60300	120		
1009	2	7001			60300	120		
1010	2	7004			60300	300		
1011	2	7005			60300	80		
1012	2	7006			60300	150		
1013	2	773222			60300	400		
1014	2	900001			60300	120		
1015	2	900004			60300	120		
1016	2	900007			60300	120		
1017	2	900010			60300	120		
1018	2	900013			60300	120		
1019	2	900016			60300	120		
1101	3	1			60300	45		
1102	3	1			60300	45		
1103	3	1			60300	45		
1104	3	1			60300	45		
1105	3	1			60300	45		
1106	3	1			60300	45		
1107	3	1			60300	45		
1108	3	1			60300	45		
1109	3	1			60300	45		
1110	3	1			60300	45		
1111	3	1			60300	45		
1112	3	1			60300	45		
1113	3	1			60300	45		
1114	3	1			60300	45		
2001	2	773001			60300	200		
2002	2	773007			60300	200		
2003	2	773013			60300	200		
2004	2	773118			60300	200		
2005	2	773130			60300	200		
2006	2	773136			60300	200		
2007	2	773182			60300	200		
2008	2	7008			60300	200		
2009	2	7002			60300	200		
2010	2	773027			60300	240		
2011	2	773034			60300	280		
2012	2	773041			60300	150		
2013	2	773048			60300	240		
2014	2	7010			60300	200		
2015	2	900002			60300	200		
2016	2	900005			60300	200		
2017	2	900008			60300	200		
2018	2	900011			60300	200		
2019	2	900014			60300	200		
2020	2	900017			60300	200		
2021	2	900020			60300	200		
2101	3	1			60300	45		
2102	3	1			60300	45		
2103	3	1			60300	45		
2104	3	1			60300	45		
2105	3	1			60300	45		
2106	3	1			60300	45		
2107	3	1			60300	45		
2108	3	1			60300	45		
2109	3	1			60300	45		
2110	3	1			60300	45		
2111	3	1			60300	45		
2112	3	1			60300	45		
2113	3	1			60300	45		
2114	3	1			60300	45		
3001	2	773002			60300	280		
3002	2	773008			60300	280		
3003	2	773014			60300	280		
3004	2	773119			60300	280		
3005	2	773131			60300	280		
3006	2	773137			60300	280		
3007	2	773183			60300	280		
3008	2	7009			60300	280		
3009	2	7011			60300	280		
3010	2	7012			60300	280		
3011	2	7003			60300	280		
3012	2	773114			60300	240		
3013	2	773132			60300	240		
3014	2	773138			60300	200		
3015	2	773174			60300	300		
3016	2	773187			60300	240		
3017	2	773202			60300	300		
3018	2	773216			60300	300		
3019	2	773219			60300	240		
3020	2	773223			60300	240		
3021	2	900003			60300	280		
3022	2	900006			60300	280		
3023	2	900009			60300	280		
3024	2	900012			60300	280		
3025	2	900015			60300	280		
3026	2	900018			60300	280		
3027	2	900021			60300	280		
3101	3	1			60300	45		
3102	3	1			60300	45		
3103	3	1			60300	45		
3104	3	1			60300	45		
3105	3	1			60300	45		
3106	3	1			60300	45		
3107	3	1			60300	45		
3108	3	1			60300	45		
3109	3	1			60300	45		
3110	3	1			60300	45		
3111	3	1			60300	45		
3112	3	1			60300	45		
3113	3	1			60300	45		
3114	3	1			60300	45		
